2025-07-29 04:37:44.004 355 Loaded 0 items
2025-07-29 06:23:54.997 311 Loaded 0 items
2025-07-29 06:23:54.998 311 Sync manager initialized: redroid/redroid_x86_64/redroid_x86_64:11/RD2A.211001.002/eng.frank.20240527.144006:userdebug/test-keys
2025-07-29 06:23:55.042 311 onStartUser: user=0
2025-07-29 06:23:55.087 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:55.087 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:55.090 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:55.094 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:55.096 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:55.122 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:55.150 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:55.207 311 rescheduleSyncs() ep=ALL ACCS/ALL PDRS:u-1 why=network reconnect
2025-07-29 06:23:55.207 311 Loaded persisted syncs: 0 periodic syncs, 0 oneshot syncs, 13 total system server jobs, JobStats: FirstLoad: 4/4/0 LastSave: -1/-1/-1
2025-07-29 06:23:55.212 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:55.317 311 onUnlockUser: user=0
2025-07-29 06:23:55.338 311 updateRunningAccountsH: []
2025-07-29 06:23:55.338 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:55.347 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:55.415 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:55.416 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:56.355 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:56.355 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:56.387 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:56.387 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:56.404 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:56.471 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:56.471 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:56.480 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:56.518 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:23:56.518 311 scheduleSync: no accounts configured, dropping
2025-07-29 06:29:49.074 315 Loaded 0 items
